season,family,gid,plant,replicated,H_cluster,soluble_solids,S_dry
2018,jardin,G_Variete.d.oasis.bou.chemma,2,R1,759,18,0.09472
2018,jardin,G_Variete.d.oasis.bou.chemma,1,R1,596,22.2,0.09405000000000001
2018,jardin,G_Variete.d.oasis.bou.chemma,1,R2,722,20,0.10108999999999999
2018,jardin,G_Variete.d.oasis.bou.chemma,2,R2,544,22.4,0.08286
2018,jardin,G_Variete.d.oasis.bou.chemma,3,R1,628,19.2,0.08564000000000001
2018,jardin,G_Variete.d.oasis.bou.chemma,3,R2,426,18.4,0.08771999999999999
2018,jardin,G_Variete.d.oasis.bou.chemma,3,R3,311,16,0.09223
2018,jardin,G_Verdot,3,R3,242,18,0.09986
2018,jardin,G_Verdot,1,R1,206,19,0.08974000000000001
2018,jardin,G_Verdot,1,R2,208,21,0.06492
2018,jardin,G_Verdot,1,R3,230,20,0.06984000000000001
2018,jardin,G_Verdot,2,R1,205,17.2,0.09432
2018,jardin,G_Verdot,2,R2,201,19,0.01391
2018,jardin,G_Verdot,2,R3,188,16.4,0.08612
2018,jardin,G_Verdot,3,R1,280,18.8,0.08177
2018,jardin,G_Verdot,3,R2,272,18,0.10257000000000001
2018,jardin,G_Voskeat,3,R1,489,20.2,0.05678999999999999
2018,jardin,G_Voskeat,1,R1,567,19.6,0.08578000000000001
2018,jardin,G_Voskeat,1,R2,464,18,0.074
2018,jardin,G_Voskeat,1,R3,489,20.4,0.05123
2018,jardin,G_Voskeat,2,R1,217,13,0.059179999999999996
2018,jardin,G_Voskeat,3,R2,216,18.4,0.07844
2020,902,G_5.2.77,1,R1,186.5,16,0.027199999999999995
2020,902,G_5.2.77,1,R2,401.5,15,0.031270000000000006
2020,902,G_5.2.77,1,R3,172.9,18,0.025529999999999997
2020,111,G_5.7.93,1,R1,195.9,17,0.08829999999999999
2020,111,G_5.7.93,1,R2,416.3,17,0.10715000000000001
2020,111,G_5.7.93,1,R3,214.7,18,0.10608
2020,406,G_5.7.140,1,R1,221.2,19,4.0000000000000034e-4
2020,406,G_5.7.140,1,R2,420.9,21,1.8000000000000237e-4
2020,406,G_5.7.140,1,R3,343.1,20,4.400000000000015e-4
2020,902,G_5.9.4,1,R1,78.2,11,9.000000000000118e-5
2020,902,G_5.9.4,1,R2,102.5,19,3.8000000000000257e-4
2020,902,G_5.9.4,1,R3,134.4,18,4.600000000000021e-4
2020,902,G_5.9.5,1,R1,130.2,15,0.004189999999999999
2020,902,G_5.9.5,1,R2,304.9,16,0.007700000000000001
2020,902,G_5.9.5,1,R3,303.2,15,0.0055
2020,902,G_5.9.11,1,R1,138,18,5.700000000000039e-4
2020,902,G_5.9.11,1,R2,171.3,15,1.299999999999968e-4
